"","Maso","f","Diem"
"104",1910110,60,9.5
"105",1910650,60,9.5
"106",1915919,90,9.5
"107",1914979,40,9.5
"108",1937024,0,9.5
"109",1912463,0,10
"110",1911207,0,9.5
"111",1915795,0,9.5
"112",1915442,90,9.5
"113",1910620,120,9
"114",1910094,0,9.5
"115",1910892,20,9.5
"116",1511191,40,9
"117",1912798,60,9.5
"118",1912123,0,9.5
"119",1915991,30,9.5
"120",1910351,40,9.5
"121",1913621,60,9.5
"122",1912715,90,9.5
"123",1914881,60,9.5
"124",1910298,40,9.5
"125",1913433,60,9.5
"126",1915651,40,9.5
"127",1913918,75,9.5
"128",1914316,30,9
"129",1910038,0,10
"130",1912676,40,9.5
"131",1812257,0,9
"132",1912579,0,9
"133",1915071,60,9.5
"134",1910916,60,9.5
"135",1912237,60,9.5
"136",1914054,0,10
"137",1914084,0,9.5
"138",1914659,30,9.5
"139",1910076,0,9.5
"140",1913944,0,10
"141",1916061,90,9.5
"142",1912683,0,9.5
"143",1915520,982740,9.5
"144",1915378,234900,9.5
"145",1910565,0,9.5
"146",1913026,0,9.5
"147",1911907,36,9
"148",1910643,30,9.5
"149",1910238,106860,8
"150",1910276,120,8.5
"151",1911105,90,9.5
"152",1937064,0,9.5
"153",1910032,0,10
"154",1913764,60,9.5
"155",1912912,0,9
"156",1915351,0,9.5
"157",1914880,0,9.5
"158",1914674,60,9.5
"159",1911441,0,10
"160",1913218,0,8
"161",1914698,100,9
"162",1913048,270,9.5
"163",1913336,0,9.5
"164",1913652,0,10
"165",1915882,285,9.5
"166",1915988,0,9.5
"167",1812477,90,8
"168",1911000,0,9.5
"169",1911066,30,9
"170",1914022,0,10
"171",1913341,60,9.5
"172",1912539,0,10
"173",1913695,0,10
"174",1913334,0,8.5
"175",1915474,0,9
"176",1914704,90,9
"177",1915063,450,9.5
"178",1911650,30,9.5
"179",1913729,0,9.5
"180",1915251,0,10
"181",1910123,0,10
"182",1911058,150,9.5
"183",1912594,40,8.5
"184",1913763,60,9.5
"185",1912916,60,8
"186",1910473,0,9.5
"187",1911056,90,9.5
"188",1912761,0,10
"189",1914126,45,9.5
"190",1613010,40,9
"191",1912386,0,9
"192",1915775,300,9
"193",1913817,0,9.5
"194",1914078,0,9.5
"195",1814518,60,9.5
"196",1911841,0,10
"197",1912675,0,10
"198",1915745,90,8.5
"199",1912602,120,9.5
"200",1913949,30,9.5
"201",1915551,0,9.5
"202",1911736,60,9.5
"203",1915557,0,9.5
"204",1915083,120,8
"205",1914310,60,9.5
"206",1914424,0,9.5
"207",1913651,210,8.5
"208",1914093,209060,9.5
"209",1915982,60,9
"210",1913268,0,8.5
"211",1915439,0,10
"212",1914352,60,8.5
"213",1914210,60,9.5
"214",1915040,20,9.5
"215",1914011,0,10
"216",1914079,120,8.5
"217",1914038,189450,9.5
"218",1912046,240,8.5
"219",1910984,0,9.5
"220",1911565,0,10
"221",1912457,45,9.5
"222",1914830,60,8
"223",1915486,0,9.5
"224",1915130,30,7
"225",1911015,40,9.5
"226",1915294,0,10
"227",1914763,150,9.5
"228",1911594,0,10
"229",1914477,0,9.5
"230",1813096,30,9
"231",1913560,450,9
"232",1915787,0,10
"233",1912954,40,9.5
"234",1914713,60,9.5
"235",1914651,0,8
"236",1914914,40,9.5
"237",1913629,0,9.5
"238",1911217,210,9.5
"239",1820028,30,8
"240",1913424,30,9.5
"241",1915656,60,9.5
"242",1914685,60,9.5
"243",1912966,0,8.5
"244",1911296,60,8.5
"245",1913678,0,10
"246",1915940,40,8.5
"247",1914661,30,0
"248",1852443,60,9.5
"249",1912705,0,9.5
"250",1915983,0,9.5
"251",1915598,60,9.5
"252",1914232,0,9.5
"253",1914047,90,9.5
"254",1911900,30,9.5
"255",1915866,0,8.5
"256",1911110,120,9
"257",1910346,0,9.5
"258",1913446,0,9.5
"259",1913419,0,9
"260",1913828,120,9.5
"261",1911363,60,9.5
"262",1912526,0,10
"263",1910006,40,8.5
"264",1910060,60,9.5
"265",1912267,60,9
"266",1913430,60,9
"267",1910347,90,9
"268",1910663,NA,NA
"269",1910224,0,9.5
"270",1911530,0,9.5
"271",1915016,60,8.5
"272",1910402,20,9.5
"273",1912713,60,9.5
"274",1915570,60,9.5
"275",1913599,0,9.5
"276",1913167,40,9
"277",1911044,60,9.5
"278",1913457,0,9.5
"279",1916022,0,10
"280",1913354,0,9.5
"281",1912384,120,9.5
"282",1915470,150,9.5
"283",1915350,0,10
"284",1913045,0,9.5
"285",1915133,0,10
"286",1910265,80,9.5
"287",1813681,0,10
"288",1911285,0,9.5
"289",1913040,30,9
"290",NA,NA,9.54
