"","Maso","ThoigianTB"
"138",1911136,0
"139",1912123,0
"140",1913356,0
"141",1912184,0
"142",1914641,0
"143",1911456,0
"144",1913828,0
"145",1911185,0
"146",1910076,0
"147",1511191,0
"148",1910409,0
"149",1910101,0
"150",1911044,0
"151",1912980,0
"152",1912715,0
"153",1914093,0
"154",1912811,0
"155",1915323,0
"156",1910238,0
"157",1910298,0
"158",1910402,0
"159",1911520,0
"160",1913268,0
"161",1912371,0
"162",1910113,0
"163",1914054,0
"164",1914738,0
"165",1914697,0
"166",1911478,0
"167",1915473,0
"168",1910644,0
"169",1914084,0
"170",1913652,0
"171",1910346,0
"172",1812478,0
"173",1915351,0
"174",1913021,0
"175",1914220,0
"176",1914126,0
"177",1914677,0
"178",1910224,0
"179",1911066,0
"180",1913026,0
"181",1913380,0
"182",1913713,0
"183",1910137,0
"184",1911314,0
"185",1915146,0
"186",1911283,0
"187",1914291,0
"188",1911441,0
"189",1911569,0
"190",1915651,0
"191",1915557,0
"192",1912457,0
"193",1912523,0
"194",1913729,0
"195",1912288,0
"196",1910110,0
"197",1913566,0
"198",1912522,0
"199",1911650,0
"200",1910565,0
"201",1914659,0
"202",1915076,0
"203",1912594,0
"204",1912749,0
"205",1915251,0
"206",1912912,0
"207",1913261,0
"208",1911207,0
"209",1913241,0
"210",1910643,0
"211",1910094,0
"212",1914316,0
"213",1914022,0
"214",1912539,0
"215",1915442,0
"216",1910892,0
"217",1913254,0
"218",1913599,0
"219",1912683,0
"220",1915275,0
"221",1914914,0
"222",1910123,0
"223",1911000,0
"224",1910473,0
"225",1914806,0
"226",1910202,0
"227",1913758,0
"228",1914763,0
"229",1914881,0
"230",1912084,0
"231",1911056,0
"232",1915294,0
"233",1912798,0
"234",1913621,0
"235",1914880,0
"236",1915991,0
"237",1912463,0
"238",1915795,0
"239",1913334,0
"240",1812257,0
"241",1912267,0
"242",1913764,0
"243",1911058,0
"244",1914424,0
"245",1915982,0
"246",1911841,0
"247",1911217,0
"248",1814611,0
"249",1913228,0
"250",1915520,0
"251",1915486,0
"252",1937064,0
"253",1911878,0
"254",1914878,0
"255",1913763,0
"256",1914698,0
"257",1912675,0
"258",1913218,0
"259",1915656,0
"260",1914310,0
"261",1913336,0
"262",1914900,0
"263",1915988,0
"264",1915016,0
"265",1915063,0
"266",1915745,0
"267",1915474,0
"268",1913695,0
"269",1914079,0
"270",1914064,0
"271",1913354,0
"272",1910347,0
"273",1910984,0
"274",1911015,0
"275",1913260,0
"276",1914078,0
"277",1912958,0
"278",1814518,0
"279",1915551,0
"280",1912677,0
"281",1911736,0
"282",1852443,0
"283",1911296,0
"284",1914011,0
"285",1910198,0
"286",1911565,0
"287",1913629,0
"288",1914830,0
"289",1915787,0
"290",1913430,0
"291",1914477,0
"292",1911594,0
"293",1813528,0
"294",1915161,0
"295",1914651,0
"296",1820028,0
"297",1910265,0
"298",1913678,0
"299",1915667,0
"300",1912705,0
"301",1915866,0
"302",1914232,0
"303",1911530,0
"304",1913446,0
"305",1913419,0
"306",1911285,0
"307",1813681,0
"308",1912526,0
"309",1910060,0
"310",1915650,0
"311",1910663,0
"312",1913167,0
"313",1912713,0
"314",1912384,0
"315",1910735,0
"316",1913457,0
"317",1915133,0
"318",1915931,0
"319",1910563,0
"320",1913040,0
