"","Maso","f","Diem"
"230",1915745,0,10
"231",1913695,0,10
"232",1915063,0,10
"233",1914079,0,9
"234",1914064,0,10
"235",1915474,0,10
"236",1911650,0,10
"237",1913354,0,10
"238",1913756,0,10
"239",1915470,1120,8.5
"240",1910347,0,10
"241",1910473,0,10
"242",1912954,0,10
"243",1912386,0,10
"244",1915775,0,10
"245",1914078,0,10
"246",1913260,0,10
"247",1814518,0,10
"248",1912958,0,10
"249",1915551,0,10
"250",1911736,0,8.5
"251",1911900,0,10
"252",1914914,0,10
"253",1852443,0,10
"254",1911296,0,10
"255",1915486,0,9.5
"256",1910346,0,10
"257",1914697,0,9.5
"258",1914011,0,10
"259",1911015,104610,9.5
"260",1910198,300,9
"261",1910984,0,10
"262",1911565,0,10
"263",1914830,0,10
"264",1913430,0,10
"265",1915130,0,10
"266",1913045,0,10
"267",1915294,0,10
"268",1914477,0,10
"269",1913629,0,10
"270",1911594,0,10
"271",1813528,0,9.5
"272",1915787,0,10
"273",1913560,0,10
"274",1914713,0,10
"275",1914651,0,10
"276",1820028,0,10
"277",1914685,0,10
"278",1910265,0,10
"279",1913678,0,10
"280",1913990,480,8.5
"281",1914661,210,0
"282",1915667,0,10
"283",1912705,0,10
"284",1915983,0,10
"285",1914232,0,10
"286",1915866,0,10
"287",1911110,0,10
"288",1911363,0,10
"289",1913446,0,10
"290",1913419,0,10
"291",1911975,0,8
"292",1911285,0,10
"293",1813681,0,10
"294",1912526,0,10
"295",1910006,0,10
"296",1910060,0,10
"297",1915650,0,10
"298",1913599,0,10
"299",1915570,0,10
"300",1910663,0,10
"301",1911530,0,10
"302",1913167,0,10
"303",1911044,0,10
"304",1912713,0,10
"305",1912384,0,10
"306",1910735,0,10
"307",1913457,0,10
"308",1916022,0,10
"309",1913758,0,10
"310",1911878,0,10
"311",1915133,0,10
"312",1915931,0,10
"313",1912522,0,10
"314",1910563,0,10
"315",1913040,0,10
